City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Yar-Sale,RU,66.8333,70.8333,25.2,92,81,12.37,broken clouds
80,Barrow,US,71.2906,-156.7887,-7.6,71,1,11.5,clear sky
81,Udayagiri,IN,20.1333,84.3833,68.77,69,0,1.45,clear sky
82,Zonguldak,TR,41.25,31.8333,35.01,80,97,2.82,overcast clouds
83,Krasnyy Chikoy,RU,50.3643,108.7512,28.33,52,100,8.99,overcast clouds
84,Kutum,SD,14.2,24.6667,70.05,12,41,13.33,scattered clouds
85,Thiruvananthapuram,IN,8.4833,76.9167,80.6,78,20,1.68,mist
86,Honningsvag,NO,70.9821,25.9704,31.37,81,71,28.14,light snow
87,Puerto Ayora,EC,-0.7393,-90.3518,78.8,83,40,8.05,scattered clouds
88,Tuktoyaktuk,CA,69.4541,-133.0374,-11.2,70,1,11.5,clear sky
89,New Norfolk,AU,-42.7826,147.0587,48.99,89,100,1.99,light rain
90,Khatanga,RU,71.9667,102.5,16.52,93,100,13.67,light snow
91,Alghero,IT,40.5589,8.3181,60.8,77,75,6.91,broken clouds
92,Altar,MX,30.7,-111.8167,91.99,8,18,8.01,few clouds
93,Kailua,US,21.4022,-157.7394,78.8,53,20,8.05,few clouds
94,Vestmannaeyjar,IS,63.4427,-20.2734,37.58,92,100,8.77,overcast clouds
95,Cherskiy,RU,68.75,161.3,-6.88,81,75,2.93,broken clouds
96,Chokurdakh,RU,70.6333,147.9167,-13.72,96,99,0.98,overcast clouds
97,Guangyuan,CN,32.442,105.823,57.99,93,100,2.66,overcast clouds
98,Oksfjord,NO,70.2396,22.3479,33.8,59,75,11.5,light snow
99,Victoria,HK,22.2855,114.1577,71.01,81,62,1.01,broken clouds
100,Sao Filipe,CV,14.8961,-24.4956,75.69,62,19,7.09,few clouds
101,Esperance,AU,-33.8667,121.9,57.2,88,99,10.36,overcast clouds
102,Kedrovyy,RU,56.1667,91.8167,19.4,73,0,1.97,clear sky
103,Ust-Ilimsk,RU,58.0006,102.6619,16.47,78,32,2.19,scattered clouds
104,Gidole,ET,5.65,37.3667,56.91,79,99,2.62,light rain
105,Pop,UZ,40.8736,71.1089,53.6,47,0,4.61,clear sky
106,Mushie,CD,-3.0167,16.9,72.75,93,100,3.18,overcast clouds
107,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,77.77,88,96,10.04,overcast clouds
108,Aquiraz,BR,-3.9014,-38.3911,82.99,78,40,10.36,scattered clouds
109,Vysokogornyy,RU,50.1167,139.15,43.7,62,67,11.18,broken clouds
110,Lasa,IT,46.6166,10.7002,48.0,87,75,6.91,broken clouds
111,Rio Tercero,AR,-32.173,-64.1141,52.0,87,96,11.99,overcast clouds
112,Praia Da Vitoria,PT,38.7333,-27.0667,61.0,100,75,19.22,mist
113,Coachella,US,33.6803,-116.1739,97.0,7,1,4.61,clear sky
114,Anloga,GH,5.7947,0.8973,82.4,83,20,6.91,few clouds
115,Chuy,UY,-33.6971,-53.4616,69.24,96,100,12.75,heavy intensity rain
116,Nanortalik,GL,60.1432,-45.2371,34.45,88,76,10.4,broken clouds
117,Santa Maria Da Vitoria,BR,-13.3947,-44.1886,80.02,43,100,2.21,overcast clouds
118,Mulki,IN,13.1,74.8,77.0,83,20,3.38,few clouds
119,Bluff,NZ,-46.6,168.3333,60.01,87,88,10.0,light rain
120,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,37.4,44,0,2.24,clear sky
